"Open time" "Open" "High" "Low" "Close" "Volume" "Close time" "Quote asset volume" "Number of trades" "Taker buy base asset volume" "Taker buy quote asset volume" "Ignore"
"1606911420000" "18903.48000000" "18921.12000000" "18890.08000000" "18915.05000000" "24.44744300" "1606911479999" "462152.54347335" "933" "10.98931100" "207757.29076304" "0"
"1606911480000" "18915.05000000" "18955.77000000" "18898.40000000" "18918.08000000" "40.72030700" "1606911539999" "770851.03997772" "1274" "23.79774300" "450568.48878559" "0"
"1606911540000" "18918.09000000" "18941.82000000" "18918.09000000" "18933.07000000" "19.54257600" "1606911599999" "369993.22008259" "1093" "11.56216700" "218902.63784662" "0"
"1606911600000" "18933.06000000" "18957.21000000" "18926.89000000" "18930.74000000" "27.55137000" "1606911659999" "521909.95276062" "1172" "17.39800600" "329601.92484025" "0"
"1606911660000" "18930.74000000" "18946.15000000" "18911.15000000" "18938.12000000" "24.70342600" "1606911719999" "467694.56026133" "980" "15.26108600" "288965.19819506" "0"
"1606911720000" "18937.75000000" "18941.87000000" "18904.53000000" "18904.73000000" "45.14846600" "1606911779999" "854136.45955021" "1042" "13.05092500" "246915.80270224" "0"
"1606911780000" "18903.79000000" "18913.86000000" "18885.92000000" "18891.80000000" "35.09932300" "1606911839999" "663341.11230276" "1164" "12.40243400" "234413.47679241" "0"
"1606911840000" "18891.83000000" "18947.26000000" "18875.07000000" "18945.90000000" "66.89920300" "1606911899999" "1265108.23735986" "1370" "40.85431700" "772693.18187837" "0"
"1606911900000" "18945.90000000" "18965.31000000" "18945.89000000" "18958.37000000" "27.90087400" "1606911959999" "528890.67360417" "824" "17.94109800" "340096.13985980" "0"
"1606911960000" "18957.13000000" "18963.65000000" "18932.00000000" "18957.47000000" "30.77475500" "1606912019999" "583170.97491286" "846" "18.93849900" "358871.86572185" "0"
"1606912020000" "18956.91000000" "18958.75000000" "18918.58000000" "18939.91000000" "29.99401900" "1606912079999" "567996.58580367" "938" "14.07667900" "266559.36242465" "0"
